geo,gender,age_group,stage,population_pred,year,operator
Nova Scotia,Women+,80 to 84 years,after_aging,16507.4,2023,fixed20
Nova Scotia,Women+,85 to 89 years,after_aging,10106.6,2023,fixed20
Nova Scotia,Women+,90 to 94 years,after_aging,5390.400000000001,2023,fixed20
Nova Scotia,Women+,95 to 99 years,after_aging,2017.2,2023,fixed20
Nova Scotia,Women+,100 years and older,after_aging,572.0,2023,fixed20
Ontario,Men+,-1 year,after_aging,0.0,2023,fixed20
Ontario,Men+,0 to 4 years,after_aging,292479.2,2023,fixed20
Ontario,Men+,5 to 9 years,after_aging,395491.8,2023,fixed20
Ontario,Men+,10 to 14 years,after_aging,416497.80000000005,2023,fixed20
Ontario,Men+,15 to 19 years,after_aging,438557.80000000005,2023,fixed20
Ontario,Men+,20 to 24 years,after_aging,520116.60000000003,2023,fixed20
Ontario,Men+,25 to 29 years,after_aging,588798.2000000001,2023,fixed20
Ontario,Men+,30 to 34 years,after_aging,576454.2000000001,2023,fixed20
Ontario,Men+,35 to 39 years,after_aging,530213.0,2023,fixed20
Ontario,Men+,40 to 44 years,after_aging,481403.4,2023,fixed20
Ontario,Men+,45 to 49 years,after_aging,455215.4,2023,fixed20
Ontario,Men+,50 to 54 years,after_aging,466605.80000000005,2023,fixed20
Ontario,Men+,55 to 59 years,after_aging,504304.0,2023,fixed20
Ontario,Men+,60 to 64 years,after_aging,498350.2,2023,fixed20
Ontario,Men+,65 to 69 years,after_aging,425427.20000000007,2023,fixed20
Ontario,Men+,70 to 74 years,after_aging,345745.00000000006,2023,fixed20
Ontario,Men+,75 to 79 years,after_aging,259098.60000000003,2023,fixed20
Ontario,Men+,80 to 84 years,after_aging,167759.6,2023,fixed20
Ontario,Men+,85 to 89 years,after_aging,98103.6,2023,fixed20
Ontario,Men+,90 to 94 years,after_aging,45384.8,2023,fixed20
Ontario,Men+,95 to 99 years,after_aging,13509.8,2023,fixed20
Ontario,Men+,100 years and older,after_aging,2377.0,2023,fixed20
Ontario,Women+,-1 year,after_aging,0.0,2023,fixed20
Ontario,Women+,0 to 4 years,after_aging,279793.60000000003,2023,fixed20
Ontario,Women+,5 to 9 years,after_aging,375863.60000000003,2023,fixed20
Ontario,Women+,10 to 14 years,after_aging,392379.60000000003,2023,fixed20
Ontario,Women+,15 to 19 years,after_aging,409396.80000000005,2023,fixed20
Ontario,Women+,20 to 24 years,after_aging,473884.60000000003,2023,fixed20
Ontario,Women+,25 to 29 years,after_aging,533692.6000000001,2023,fixed20
Ontario,Women+,30 to 34 years,after_aging,544447.4,2023,fixed20
Ontario,Women+,35 to 39 years,after_aging,520993.8,2023,fixed20
Ontario,Women+,40 to 44 years,after_aging,489223.0,2023,fixed20
