geo,geography_level,component,gender,age_group,period,start_year,end_year,value
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,64.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,-103.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,-164.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,net_non_permanent_residents,Men+,All ages,2024 / 2025,2024,2025,155.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,net_non_permanent_residents,Women+,All ages,2024 / 2025,2024,2025,148.0
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,residual_deviation,Men+,All ages,2024 / 2025,2024,2025,
"West Coast-Northern Peninsula-Labrador, Newfoundland and Labrador",economic_region,residual_deviation,Women+,All ages,2024 / 2025,2024,2025,
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,births,Men+,All ages,2024 / 2025,2024,2025,269.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,births,Women+,All ages,2024 / 2025,2024,2025,270.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,deaths,Men+,All ages,2024 / 2025,2024,2025,835.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,deaths,Women+,All ages,2024 / 2025,2024,2025,771.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,immigrants,Men+,All ages,2024 / 2025,2024,2025,255.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,immigrants,Women+,All ages,2024 / 2025,2024,2025,231.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,emigrants,Men+,All ages,2024 / 2025,2024,2025,11.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,emigrants,Women+,All ages,2024 / 2025,2024,2025,16.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,returning_emigrants,Men+,All ages,2024 / 2025,2024,2025,3.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,returning_emigrants,Women+,All ages,2024 / 2025,2024,2025,6.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,net_temporary_emigration,Men+,All ages,2024 / 2025,2024,2025,
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,net_temporary_emigration,Women+,All ages,2024 / 2025,2024,2025,
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,net_interprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,200.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,net_interprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,189.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,net_intraprovincial_migration,Men+,All ages,2024 / 2025,2024,2025,-51.0
"Notre Dame-Central Bonavista Bay, Newfoundland and Labrador",economic_region,net_intraprovincial_migration,Women+,All ages,2024 / 2025,2024,2025,-50.0
