model,target,geo,rmse,mae,relative_rmse,n
fixed20_aging_births_deaths,P_tot,British Columbia,130702.62204714902,114621.33333333272,0.023223710034458004,3
fixed20_aging_births_deaths,P_tot,Manitoba,30853.53366039825,29076.666666666588,0.020776566488440697,3
fixed20_aging_births_deaths,P_tot,New Brunswick,23714.397792620977,22747.333333333332,0.027800322373082387,3
fixed20_aging_births_deaths,P_tot,Newfoundland and Labrador,9409.612071352003,9134.666666666666,0.017259336789860906,3
fixed20_aging_births_deaths,P_tot,Nova Scotia,27725.390180602764,26276.666666666628,0.025758959777507747,3
fixed20_aging_births_deaths,P_tot,Ontario,394163.3193863502,349579.6666666654,0.024616981663847518,3
fixed20_aging_births_deaths,P_tot,Prince Edward Island,5656.29410480041,5422.99999999999,0.031652457217685566,3
fixed20_aging_births_deaths,P_tot,Quebec,138388.63358551622,130132.99999999876,0.015447765084660618,3
fixed20_aging_births_deaths,P_tot,Saskatchewan,28373.952779500567,27317.666666666588,0.022850990296729334,3
fixed20_aging_births_deaths,P_tot,Yukon,1501.1450074304391,1368.3333333333333,0.03187324846623529,3
fixed20_aging_births_deaths_international,P1_0_14,ALL,4062.3261600101882,2591.624242424248,0.007192559008084083,33
fixed20_aging_births_deaths_international,P1_0_14,Alberta,6787.462423223136,6638.199999999953,0.007861952906272418,3
fixed20_aging_births_deaths_international,P1_0_14,British Columbia,4542.437702379638,4450.466666666674,0.006076392643189649,3
fixed20_aging_births_deaths_international,P1_0_14,Manitoba,2306.892747109582,2231.1333333333605,0.008688861571034209,3
fixed20_aging_births_deaths_international,P1_0_14,New Brunswick,535.5584250729939,444.8000000000029,0.004452461750747488,3
fixed20_aging_births_deaths_international,P1_0_14,Newfoundland and Labrador,383.6624384360085,365.5333333333304,0.005629263273949211,3
fixed20_aging_births_deaths_international,P1_0_14,Nova Scotia,512.4896877011134,365.73333333331783,0.003515645366808302,3
fixed20_aging_births_deaths_international,P1_0_14,Ontario,9927.55533922298,9614.533333333364,0.004212121737477476,3
fixed20_aging_births_deaths_international,P1_0_14,Prince Edward Island,47.13738785012552,41.93333333333188,0.0018724135844284805,3
fixed20_aging_births_deaths_international,P1_0_14,Quebec,2558.6672103525857,2451.7333333333954,0.001854082490483882,3
fixed20_aging_births_deaths_international,P1_0_14,Saskatchewan,1923.0885644365583,1862.0,0.00826341105076081,3
fixed20_aging_births_deaths_international,P1_0_14,Yukon,44.7405856018895,41.799999999999876,0.006097939975724343,3
fixed20_aging_births_deaths_international,P2_15_64,ALL,10642.611155789455,5832.581818181912,0.004358496255116623,33
fixed20_aging_births_deaths_international,P2_15_64,Alberta,31735.273135319465,30793.933333333272,0.009705529540975718,3
fixed20_aging_births_deaths_international,P2_15_64,British Columbia,6897.50542539321,6325.333333333023,0.0018386748184233634,3
fixed20_aging_births_deaths_international,P2_15_64,Manitoba,4635.329380601491,4398.20000000007,0.004790803737355303,3
fixed20_aging_births_deaths_international,P2_15_64,New Brunswick,3572.4861259352456,2944.3999999999846,0.006669901824517414,3
fixed20_aging_births_deaths_international,P2_15_64,Newfoundland and Labrador,996.3428727099581,937.0666666666317,0.0029111637220560413,3
fixed20_aging_births_deaths_international,P2_15_64,Nova Scotia,6346.355759541558,5928.999999999961,0.009186269559112089,3
fixed20_aging_births_deaths_international,P2_15_64,Ontario,9723.331097932138,6361.400000000994,0.0009095424524530544,3
fixed20_aging_births_deaths_international,P2_15_64,Prince Edward Island,1094.9023700768869,1087.4666666666599,0.009387747426300785,3
fixed20_aging_births_deaths_international,P2_15_64,Quebec,3830.7402348200794,3208.4000000003725,0.0006753251440935447,3
fixed20_aging_births_deaths_international,P2_15_64,Saskatchewan,2254.531297927259,1826.0666666667287,0.0028524962923679657,3
fixed20_aging_births_deaths_international,P2_15_64,Yukon,443.19881167108923,347.1333333333326,0.013565095851833044,3
fixed20_aging_births_deaths_international,P3_65plus,ALL,4514.143356566889,2048.224242424279,0.006343012395639246,33
fixed20_aging_births_deaths_international,P3_65plus,Alberta,1184.6859893377666,1106.8666666666202,0.0015955223602990322,3
