geo,gender,age_group,stage,population_pred,year,operator
Newfoundland and Labrador,Women+,75 to 79 years,after_aging,13358.8,2022,fixed20
Newfoundland and Labrador,Women+,80 to 84 years,after_aging,8502.0,2022,fixed20
Newfoundland and Labrador,Women+,85 to 89 years,after_aging,4784.0,2022,fixed20
Newfoundland and Labrador,Women+,90 to 94 years,after_aging,2368.2,2022,fixed20
Newfoundland and Labrador,Women+,95 to 99 years,after_aging,822.2,2022,fixed20
Newfoundland and Labrador,Women+,100 years and older,after_aging,207.60000000000002,2022,fixed20
Nova Scotia,Men+,-1 year,after_aging,0.0,2022,fixed20
Nova Scotia,Men+,0 to 4 years,after_aging,17158.4,2022,fixed20
Nova Scotia,Men+,5 to 9 years,after_aging,23771.200000000004,2022,fixed20
Nova Scotia,Men+,10 to 14 years,after_aging,25208.800000000003,2022,fixed20
Nova Scotia,Men+,15 to 19 years,after_aging,25283.0,2022,fixed20
Nova Scotia,Men+,20 to 24 years,after_aging,31563.200000000004,2022,fixed20
Nova Scotia,Men+,25 to 29 years,after_aging,33926.8,2022,fixed20
Nova Scotia,Men+,30 to 34 years,after_aging,32377.4,2022,fixed20
Nova Scotia,Men+,35 to 39 years,after_aging,30513.000000000004,2022,fixed20
Nova Scotia,Men+,40 to 44 years,after_aging,29035.2,2022,fixed20
Nova Scotia,Men+,45 to 49 years,after_aging,29552.600000000002,2022,fixed20
Nova Scotia,Men+,50 to 54 years,after_aging,31275.200000000004,2022,fixed20
Nova Scotia,Men+,55 to 59 years,after_aging,37030.4,2022,fixed20
Nova Scotia,Men+,60 to 64 years,after_aging,38256.4,2022,fixed20
Nova Scotia,Men+,65 to 69 years,after_aging,34293.4,2022,fixed20
Nova Scotia,Men+,70 to 74 years,after_aging,29502.0,2022,fixed20
Nova Scotia,Men+,75 to 79 years,after_aging,20788.4,2022,fixed20
Nova Scotia,Men+,80 to 84 years,after_aging,12750.400000000001,2022,fixed20
Nova Scotia,Men+,85 to 89 years,after_aging,6951.6,2022,fixed20
Nova Scotia,Men+,90 to 94 years,after_aging,2827.0,2022,fixed20
Nova Scotia,Men+,95 to 99 years,after_aging,756.6,2022,fixed20
