alpha_source_65_69,alpha_target_70_74,rmse,mae,max_abs_error,median_abs_error
0.165,0.17,5466.864181538718,5009.069416999079,7851.773582906579,4652.149624734768
0.25,0.275,5524.460205674373,5124.334416999055,7900.398582906579,4518.214624734712
0.195,0.185,5551.967032747092,5200.53558300094,7344.074956644094,5619.430375265307
0.26,0.265,5565.526800348305,5249.062249667612,7147.99995664414,5858.175375265302
0.185,0.195,5606.243989903472,5172.861083665746,8003.308582906611,4756.959624734707
0.175,0.16,5715.237853236964,5364.327249667588,7579.104956644122,5724.240375265246
0.24,0.24,5728.093071327575,5412.853916334298,7383.02995664411,5962.985375265358
0.205,0.22,5747.4165875996605,5336.652750332335,8154.843582906527,4861.769624734647
0.14,0.14,5831.822567276759,5385.179416999065,8257.75358290656,5100.514624734758
0.155,0.135,5879.031175932394,5528.118916334274,7814.134956644091,5829.050375265302
0.225,0.245,5890.253071868295,5500.444416999041,8306.37858290656,4966.5796247347025
0.22,0.215,5891.219734854244,5576.645583000926,7618.05995664408,6067.7953752652975
0.16,0.165,5972.335737169304,5548.971083665732,8409.288582906593,5205.324624734698
0.245,0.27,6034.635294037401,5664.236083665727,8457.913582906593,5071.3896247347
0.2,0.19,6054.86149775799,5740.437249667632,7853.089956644108,6172.605375265353
0.265,0.27,6072.220027989491,5788.9639163343045,7657.014956644154,6411.3503752652905
0.18,0.19,6114.482146583656,5712.76275033236,8560.823582906567,5310.134624734637
0.18,0.165,6218.977698293942,5904.22891633426,8088.1199566441355,6277.415375265293
0.245,0.245,6235.587206125451,5952.755583000951,7892.044956644124,6516.160375265288
0.2,0.215,6258.15050525803,5876.554416999027,8712.358582906541,5414.944624734693
0.135,0.135,6340.470207314576,5925.081083665718,8815.268582906574,5653.689624734689
0.16,0.14,6383.5317441736925,6068.020583000946,8323.149956644163,6382.2253752652905
0.225,0.22,6399.429474900451,6116.5472496676375,8127.074956644152,6620.970375265344
0.22,0.24,6403.23837087006,6040.346083665713,8863.893582906574,5519.754624734691
0.155,0.16,6483.43521750612,6088.8727503324235,8966.803582906607,5758.499624734744
0.24,0.265,6549.651409354089,6204.137750332399,9015.428582906607,5624.564624734689
0.205,0.195,6563.7112570102145,6280.338916334226,8362.104956644063,6725.7803752652835
0.27,0.275,6584.266964156908,6328.865583000977,8166.02995664411,6964.525375265337
0.175,0.185,6627.802052830408,6252.6644169990905,9118.338582906581,5863.309624734742
0.185,0.17,6728.400358832062,6444.130583000893,8597.134956644033,6830.590375265281
0.25,0.25,6748.184441807284,6492.657249667604,8401.05995664408,7069.335375265335
0.195,0.21,6773.48108032766,6416.456083665699,9269.873582906555,5968.119624734682
0.13,0.13,6853.970989691993,6464.9827503324095,9372.783582906588,6206.864624734735
0.165,0.145,6893.467587086382,6607.922249667579,8832.164956644061,6935.400375265279
0.23,0.225,6912.515687371862,6656.4489163342705,8636.089956644108,7174.145375265274
0.215,0.235,6920.389432810922,6580.247750332365,9421.40858290653,6072.929624734679
0.15,0.155,6998.92978717298,6628.7744169990765,9524.31858290662,6311.674624734675
0.145,0.12,7058.886415139429,6771.7139163342845,9067.194956644089,7040.210375265335
