operator,stage,geo,year,P1_0_14,P2_15_64,P3_65plus,P_tot
fixed20,after_interprovincial,Prince Edward Island,2024,25430.32179784765,117307.09972568053,36971.57847647183,179709.0
fixed20,after_interprovincial,Prince Edward Island,2025,25436.073724954465,119097.94581056466,38122.980464480876,182657.0
fixed20,after_interprovincial,Quebec,2023,1379320.480778885,5593109.40524074,1849266.113980376,8821696.0
fixed20,after_interprovincial,Quebec,2024,1386204.9409994213,5701156.73150685,1908112.3274937298,8995474.0
fixed20,after_interprovincial,Quebec,2025,1377359.9007946318,5715728.61666078,1965208.4825445877,9058297.0
fixed20,after_interprovincial,Saskatchewan,2023,231746.92280701754,766988.7438596492,211521.33333333334,1210257.0
fixed20,after_interprovincial,Saskatchewan,2024,235154.88565498154,793822.9747924354,218890.13955258304,1247868.0
fixed20,after_interprovincial,Saskatchewan,2025,234392.70169878297,806900.7169624747,225665.5813387424,1266959.0
fixed20,after_interprovincial,Yukon,2023,7239.788130563798,31332.58753709199,6846.624332344214,45419.0
fixed20,after_interprovincial,Yukon,2024,7452.083042789223,32946.132488114104,7196.784469096672,47595.0
fixed20,after_interprovincial,Yukon,2025,7407.006116642959,33390.5533428165,7480.4405405405405,48278.0
real_single_age,after_aging,Alberta,2023,773071.9920603012,3018660.514894459,720998.49304524,4512731.0
real_single_age,after_aging,Alberta,2024,787448.4288612868,3142255.6387575683,758871.932381145,4688576.0
real_single_age,after_aging,Alberta,2025,807737.2881073798,3304163.9741592067,797128.7377334132,4909030.0
real_single_age,after_aging,British Columbia,2023,690555.9489715069,3544696.3761815093,1123592.6748469835,5358845.0
real_single_age,after_aging,British Columbia,2024,693665.5408846287,3660651.6167961326,1160978.8423192385,5515296.0
real_single_age,after_aging,British Columbia,2025,697182.6363773155,3773714.090940484,1200217.2726822004,5671113.999999999
real_single_age,after_aging,Manitoba,2023,243121.31553072782,917481.275299177,252895.4091700951,1413498.0
real_single_age,after_aging,Manitoba,2024,245726.10313379462,946801.5417048674,260674.355161338,1453202.0
real_single_age,after_aging,Manitoba,2025,248436.51603339516,974809.9829050172,268897.50106158765,1492144.0
real_single_age,after_aging,New Brunswick,2023,106338.27708302475,505237.2818778637,197293.44103911152,808869.0
real_single_age,after_aging,New Brunswick,2024,109173.39642302113,518268.89284988854,203660.7107270903,831103.0
