operator,stage,geo,year,P1_0_14,P2_15_64,P3_65plus,P_tot
fixed20,after_interprovincial,British Columbia,2025,748940.5145605598,3778676.855381348,1169918.6300580925,5697536.0
fixed20,after_interprovincial,Manitoba,2022,261431.4004077338,915092.0134946732,236974.58609759307,1413498.0
fixed20,after_interprovincial,Manitoba,2023,264602.761435175,944239.0699097513,244360.16865507376,1453202.0
fixed20,after_interprovincial,Manitoba,2024,267407.90952303173,972436.6288467821,252299.4616301862,1492144.0000000002
fixed20,after_interprovincial,Manitoba,2025,267162.7826017558,982197.7807661613,260341.436632083,1509702.0000000002
fixed20,after_interprovincial,New Brunswick,2022,114450.29390457431,509486.2059969359,184932.50009848984,808869.0
fixed20,after_interprovincial,New Brunswick,2023,117767.93625532441,522238.4157787518,191096.64796592382,831103.0
fixed20,after_interprovincial,New Brunswick,2024,121752.57671416394,538936.662696383,197603.7605894532,858293.0
fixed20,after_interprovincial,New Brunswick,2025,122379.94625192886,544368.1416226752,202933.91212539593,869682.0000000001
fixed20,after_interprovincial,Newfoundland and Labrador,2022,68554.63844221106,335651.7811557789,127050.58040201006,531257.0
fixed20,after_interprovincial,Newfoundland and Labrador,2023,68828.47730600294,339178.59872221487,130781.92397178225,538789.0
fixed20,after_interprovincial,Newfoundland and Labrador,2024,68818.86230005516,343181.22705460567,134868.91064533923,546869.0
fixed20,after_interprovincial,Newfoundland and Labrador,2025,68254.374164884,343192.8659206846,138463.75991443146,549911.0
fixed20,after_interprovincial,Nova Scotia,2022,141656.8798917944,656704.0203708786,225673.099737327,1024034.0
fixed20,after_interprovincial,Nova Scotia,2023,144758.51795929112,675420.170521144,232826.31151956486,1053005.0
fixed20,after_interprovincial,Nova Scotia,2024,147557.14991868564,694742.8791126308,240468.97096868357,1082769.0
fixed20,after_interprovincial,Nova Scotia,2025,146619.53773213114,699513.1234012062,247112.3388666627,1093245.0
fixed20,after_interprovincial,Ontario,2022,2316066.9522677353,10060873.842434423,2778895.205297842,15155836.0
fixed20,after_interprovincial,Ontario,2023,2339202.8952694237,10419114.899874687,2874163.20485589,15632481.0
fixed20,after_interprovincial,Ontario,2024,2369225.7219007667,10798707.251178939,2976864.0269202953,16144797.0
fixed20,after_interprovincial,Ontario,2025,2374258.0895612007,10803505.307467284,3080496.6029715165,16258260.0
fixed20,after_interprovincial,Prince Edward Island,2022,24702.12900763359,108014.60610687024,34483.26488549619,167200.0
fixed20,after_interprovincial,Prince Edward Island,2023,25036.333006412675,113002.63210109393,35695.0348924934,173734.0
fixed20,after_interprovincial,Prince Edward Island,2024,25430.32179784765,117307.09972568053,36971.57847647183,179709.0
fixed20,after_interprovincial,Prince Edward Island,2025,25436.073724954465,119097.94581056466,38122.980464480876,182657.0
fixed20,after_interprovincial,Quebec,2022,1369066.31145686,5508538.813392211,1792357.87515093,8669963.0
fixed20,after_interprovincial,Quebec,2023,1379320.480778885,5593109.40524074,1849266.113980376,8821696.0
fixed20,after_interprovincial,Quebec,2024,1386204.9409994213,5701156.73150685,1908112.3274937298,8995474.0
fixed20,after_interprovincial,Quebec,2025,1377359.9007946318,5715728.61666078,1965208.4825445877,9058297.0
fixed20,after_interprovincial,Saskatchewan,2022,226842.70346714082,747098.59136976,204854.70516309922,1178796.0
fixed20,after_interprovincial,Saskatchewan,2023,231746.92280701754,766988.7438596492,211521.33333333334,1210257.0
fixed20,after_interprovincial,Saskatchewan,2024,235154.88565498154,793822.9747924354,218890.13955258304,1247868.0
fixed20,after_interprovincial,Saskatchewan,2025,234392.70169878297,806900.7169624747,225665.5813387424,1266959.0
fixed20,after_interprovincial,Yukon,2022,7130.478773301264,30148.3664461816,6590.1547805171385,43869.0
fixed20,after_interprovincial,Yukon,2023,7239.788130563798,31332.58753709199,6846.624332344214,45419.0
fixed20,after_interprovincial,Yukon,2024,7452.083042789223,32946.132488114104,7196.784469096672,47595.0
fixed20,after_interprovincial,Yukon,2025,7407.006116642959,33390.5533428165,7480.4405405405405,48278.0

