geo,gender,age_single,year,population
Saskatchewan,Men+,13,2021,8000.0
Saskatchewan,Women+,13,2021,7655.0
Alberta,Men+,13,2021,28975.0
Alberta,Women+,13,2021,27375.0
British Columbia,Men+,13,2021,26740.0
British Columbia,Women+,13,2021,25155.0
Yukon,Men+,13,2021,240.0
Yukon,Women+,13,2021,200.0
Northwest Territories,Men+,13,2021,260.0
Northwest Territories,Women+,13,2021,285.0
Nunavut,Men+,13,2021,360.0
Nunavut,Women+,13,2021,355.0
Newfoundland and Labrador,Men+,14,2021,2750.0
Newfoundland and Labrador,Women+,14,2021,2430.0
Prince Edward Island,Men+,14,2021,910.0
Prince Edward Island,Women+,14,2021,875.0
Nova Scotia,Men+,14,2021,4945.0
Nova Scotia,Women+,14,2021,4505.0
New Brunswick,Men+,14,2021,4105.0
New Brunswick,Women+,14,2021,3860.0
Quebec,Men+,14,2021,48010.0
Quebec,Women+,14,2021,45420.0
Ontario,Men+,14,2021,82535.0
Ontario,Women+,14,2021,78150.0
Manitoba,Men+,14,2021,8540.0
Manitoba,Women+,14,2021,8215.0
Saskatchewan,Men+,14,2021,7410.0
Saskatchewan,Women+,14,2021,7095.0
Alberta,Men+,14,2021,27925.0
Alberta,Women+,14,2021,26165.0
British Columbia,Men+,14,2021,26310.0
British Columbia,Women+,14,2021,24345.0
Yukon,Men+,14,2021,225.0
Yukon,Women+,14,2021,215.0
Northwest Territories,Men+,14,2021,305.0
Northwest Territories,Women+,14,2021,255.0
Nunavut,Men+,14,2021,355.0
Nunavut,Women+,14,2021,340.0
Newfoundland and Labrador,Men+,15,2021,2685.0
Newfoundland and Labrador,Women+,15,2021,2500.0
Prince Edward Island,Men+,15,2021,825.0
Prince Edward Island,Women+,15,2021,825.0
Nova Scotia,Men+,15,2021,4995.0
Nova Scotia,Women+,15,2021,4615.0
New Brunswick,Men+,15,2021,3995.0
New Brunswick,Women+,15,2021,3780.0
Quebec,Men+,15,2021,45580.0
Quebec,Women+,15,2021,43740.0
Ontario,Men+,15,2021,82325.0
Ontario,Women+,15,2021,76875.0
Manitoba,Men+,15,2021,8450.0
Manitoba,Women+,15,2021,7860.0
Saskatchewan,Men+,15,2021,7400.0
Saskatchewan,Women+,15,2021,6910.0
Alberta,Men+,15,2021,26585.0
Alberta,Women+,15,2021,25010.0
British Columbia,Men+,15,2021,25940.0
British Columbia,Women+,15,2021,24125.0
Yukon,Men+,15,2021,240.0
Yukon,Women+,15,2021,195.0
Northwest Territories,Men+,15,2021,295.0
Northwest Territories,Women+,15,2021,250.0
Nunavut,Men+,15,2021,290.0
Nunavut,Women+,15,2021,295.0
Newfoundland and Labrador,Men+,16,2021,2595.0
Newfoundland and Labrador,Women+,16,2021,2440.0
Prince Edward Island,Men+,16,2021,935.0
Prince Edward Island,Women+,16,2021,890.0
Nova Scotia,Men+,16,2021,4880.0
Nova Scotia,Women+,16,2021,4595.0
New Brunswick,Men+,16,2021,4020.0
New Brunswick,Women+,16,2021,3680.0
Quebec,Men+,16,2021,44040.0
Quebec,Women+,16,2021,41525.0
Ontario,Men+,16,2021,82250.0
Ontario,Women+,16,2021,77415.0
Manitoba,Men+,16,2021,8365.0
Manitoba,Women+,16,2021,7700.0
Saskatchewan,Men+,16,2021,7175.0
Saskatchewan,Women+,16,2021,6645.0
Alberta,Men+,16,2021,26410.0
Alberta,Women+,16,2021,24520.0
British Columbia,Men+,16,2021,26060.0
British Columbia,Women+,16,2021,24575.0
Yukon,Men+,16,2021,225.0
Yukon,Women+,16,2021,210.0
Northwest Territories,Men+,16,2021,275.0
Northwest Territories,Women+,16,2021,240.0
Nunavut,Men+,16,2021,330.0
Nunavut,Women+,16,2021,335.0
Newfoundland and Labrador,Men+,17,2021,2740.0
Newfoundland and Labrador,Women+,17,2021,2460.0
Prince Edward Island,Men+,17,2021,885.0
Prince Edward Island,Women+,17,2021,815.0
Nova Scotia,Men+,17,2021,4915.0
Nova Scotia,Women+,17,2021,4690.0
New Brunswick,Men+,17,2021,4055.0
New Brunswick,Women+,17,2021,3935.0
Quebec,Men+,17,2021,43395.0
Quebec,Women+,17,2021,41525.0
Ontario,Men+,17,2021,82915.0
Ontario,Women+,17,2021,77465.0
Manitoba,Men+,17,2021,8330.0
Manitoba,Women+,17,2021,8035.0
Saskatchewan,Men+,17,2021,7240.0
Saskatchewan,Women+,17,2021,6770.0
Alberta,Men+,17,2021,26020.0
Alberta,Women+,17,2021,24385.0
British Columbia,Men+,17,2021,26460.0
British Columbia,Women+,17,2021,24485.0
Yukon,Men+,17,2021,230.0
Yukon,Women+,17,2021,215.0
Northwest Territories,Men+,17,2021,265.0
Northwest Territories,Women+,17,2021,250.0
Nunavut,Men+,17,2021,305.0
Nunavut,Women+,17,2021,330.0
Newfoundland and Labrador,Men+,18,2021,2600.0
Newfoundland and Labrador,Women+,18,2021,2545.0
Prince Edward Island,Men+,18,2021,820.0
Prince Edward Island,Women+,18,2021,860.0
Nova Scotia,Men+,18,2021,4900.0
Nova Scotia,Women+,18,2021,4585.0
New Brunswick,Men+,18,2021,4040.0
New Brunswick,Women+,18,2021,3750.0
Quebec,Men+,18,2021,42485.0
Quebec,Women+,18,2021,40900.0
Ontario,Men+,18,2021,81465.0
Ontario,Women+,18,2021,76595.0
Manitoba,Men+,18,2021,8325.0
Manitoba,Women+,18,2021,7620.0
Saskatchewan,Men+,18,2021,6805.0
Saskatchewan,Women+,18,2021,6295.0
Alberta,Men+,18,2021,25060.0
Alberta,Women+,18,2021,24085.0
British Columbia,Men+,18,2021,26185.0
British Columbia,Women+,18,2021,24390.0
Yukon,Men+,18,2021,200.0
Yukon,Women+,18,2021,180.0
Northwest Territories,Men+,18,2021,235.0
Northwest Territories,Women+,18,2021,260.0
Nunavut,Men+,18,2021,320.0
Nunavut,Women+,18,2021,300.0
Newfoundland and Labrador,Men+,19,2021,2660.0
Newfoundland and Labrador,Women+,19,2021,2505.0
Prince Edward Island,Men+,19,2021,870.0
Prince Edward Island,Women+,19,2021,835.0
Nova Scotia,Men+,19,2021,5075.0
Nova Scotia,Women+,19,2021,4925.0
New Brunswick,Men+,19,2021,3995.0
New Brunswick,Women+,19,2021,3845.0
Quebec,Men+,19,2021,43905.0
Quebec,Women+,19,2021,42300.0
Ontario,Men+,19,2021,84525.0
Ontario,Women+,19,2021,79625.0
Manitoba,Men+,19,2021,8475.0
Manitoba,Women+,19,2021,7745.0
Saskatchewan,Men+,19,2021,6900.0
Saskatchewan,Women+,19,2021,6360.0
Alberta,Men+,19,2021,24675.0
Alberta,Women+,19,2021,23015.0
British Columbia,Men+,19,2021,26590.0
British Columbia,Women+,19,2021,24865.0
Yukon,Men+,19,2021,190.0
Yukon,Women+,19,2021,200.0
Northwest Territories,Men+,19,2021,210.0
Northwest Territories,Women+,19,2021,250.0
Nunavut,Men+,19,2021,295.0
Nunavut,Women+,19,2021,290.0
Newfoundland and Labrador,Men+,20,2021,2735.0
Newfoundland and Labrador,Women+,20,2021,2485.0
Prince Edward Island,Men+,20,2021,960.0
Prince Edward Island,Women+,20,2021,940.0
Nova Scotia,Men+,20,2021,5425.0
Nova Scotia,Women+,20,2021,5145.0
New Brunswick,Men+,20,2021,4100.0
New Brunswick,Women+,20,2021,4015.0
Quebec,Men+,20,2021,45460.0
Quebec,Women+,20,2021,43415.0
Ontario,Men+,20,2021,89300.0
Ontario,Women+,20,2021,82565.0
Manitoba,Men+,20,2021,9160.0
Manitoba,Women+,20,2021,8530.0
Saskatchewan,Men+,20,2021,6900.0
Saskatchewan,Women+,20,2021,6380.0
Alberta,Men+,20,2021,25435.0
Alberta,Women+,20,2021,23595.0
British Columbia,Men+,20,2021,28690.0
British Columbia,Women+,20,2021,27020.0
Yukon,Men+,20,2021,205.0
Yukon,Women+,20,2021,195.0
Northwest Territories,Men+,20,2021,235.0
Northwest Territories,Women+,20,2021,250.0
Nunavut,Men+,20,2021,325.0
Nunavut,Women+,20,2021,285.0
Newfoundland and Labrador,Men+,21,2021,2765.0
Newfoundland and Labrador,Women+,21,2021,2590.0
Prince Edward Island,Men+,21,2021,1070.0
Prince Edward Island,Women+,21,2021,1060.0
Nova Scotia,Men+,21,2021,5935.0
Nova Scotia,Women+,21,2021,5740.0
New Brunswick,Men+,21,2021,4630.0
New Brunswick,Women+,21,2021,4135.0
Quebec,Men+,21,2021,46445.0
Quebec,Women+,21,2021,44680.0
Ontario,Men+,21,2021,92745.0
Ontario,Women+,21,2021,84865.0
Manitoba,Men+,21,2021,10170.0
Manitoba,Women+,21,2021,8855.0
Saskatchewan,Men+,21,2021,7045.0
Saskatchewan,Women+,21,2021,6625.0
Alberta,Men+,21,2021,25840.0
Alberta,Women+,21,2021,24100.0
British Columbia,Men+,21,2021,29580.0
British Columbia,Women+,21,2021,28030.0
Yukon,Men+,21,2021,190.0
Yukon,Women+,21,2021,210.0
Northwest Territories,Men+,21,2021,235.0
Northwest Territories,Women+,21,2021,260.0
Nunavut,Men+,21,2021,325.0
Nunavut,Women+,21,2021,270.0
Newfoundland and Labrador,Men+,22,2021,2760.0
Newfoundland and Labrador,Women+,22,2021,2525.0
Prince Edward Island,Men+,22,2021,1235.0
Prince Edward Island,Women+,22,2021,1070.0
Nova Scotia,Men+,22,2021,6200.0
Nova Scotia,Women+,22,2021,5590.0
New Brunswick,Men+,22,2021,4495.0
New Brunswick,Women+,22,2021,4080.0
Quebec,Men+,22,2021,45825.0
Quebec,Women+,22,2021,43860.0
Ontario,Men+,22,2021,91315.0
Ontario,Women+,22,2021,84925.0
Manitoba,Men+,22,2021,9955.0
Manitoba,Women+,22,2021,8745.0
Saskatchewan,Men+,22,2021,6870.0
Saskatchewan,Women+,22,2021,6335.0
Alberta,Men+,22,2021,25480.0
Alberta,Women+,22,2021,24070.0
British Columbia,Men+,22,2021,29935.0
British Columbia,Women+,22,2021,28320.0
Yukon,Men+,22,2021,205.0
Yukon,Women+,22,2021,195.0
Northwest Territories,Men+,22,2021,265.0
Northwest Territories,Women+,22,2021,210.0
Nunavut,Men+,22,2021,275.0
Nunavut,Women+,22,2021,280.0
Newfoundland and Labrador,Men+,23,2021,2730.0
Newfoundland and Labrador,Women+,23,2021,2500.0
Prince Edward Island,Men+,23,2021,1195.0
Prince Edward Island,Women+,23,2021,995.0
Nova Scotia,Men+,23,2021,6355.0
Nova Scotia,Women+,23,2021,5765.0
New Brunswick,Men+,23,2021,4390.0
New Brunswick,Women+,23,2021,4105.0
Quebec,Men+,23,2021,47260.0
Quebec,Women+,23,2021,45805.0
Ontario,Men+,23,2021,95195.0
Ontario,Women+,23,2021,87835.0
Manitoba,Men+,23,2021,9600.0
Manitoba,Women+,23,2021,8555.0
Saskatchewan,Men+,23,2021,6815.0
Saskatchewan,Women+,23,2021,6430.0
Alberta,Men+,23,2021,25550.0
Alberta,Women+,23,2021,23915.0
British Columbia,Men+,23,2021,30820.0
British Columbia,Women+,23,2021,29500.0
Yukon,Men+,23,2021,240.0
Yukon,Women+,23,2021,235.0
Northwest Territories,Men+,23,2021,300.0
Northwest Territories,Women+,23,2021,230.0
Nunavut,Men+,23,2021,295.0
Nunavut,Women+,23,2021,260.0
Newfoundland and Labrador,Men+,24,2021,2565.0
Newfoundland and Labrador,Women+,24,2021,2420.0
Prince Edward Island,Men+,24,2021,1110.0
Prince Edward Island,Women+,24,2021,940.0
Nova Scotia,Men+,24,2021,6200.0
Nova Scotia,Women+,24,2021,5655.0
New Brunswick,Men+,24,2021,4375.0
New Brunswick,Women+,24,2021,3800.0
Quebec,Men+,24,2021,50260.0
Quebec,Women+,24,2021,47650.0
Ontario,Men+,24,2021,96970.0
Ontario,Women+,24,2021,89890.0
Manitoba,Men+,24,2021,9380.0
Manitoba,Women+,24,2021,8475.0
Saskatchewan,Men+,24,2021,6955.0
Saskatchewan,Women+,24,2021,6530.0
Alberta,Men+,24,2021,26285.0
Alberta,Women+,24,2021,24470.0
British Columbia,Men+,24,2021,32475.0
British Columbia,Women+,24,2021,30270.0
Yukon,Men+,24,2021,245.0
Yukon,Women+,24,2021,225.0
Northwest Territories,Men+,24,2021,305.0
Northwest Territories,Women+,24,2021,265.0
Nunavut,Men+,24,2021,255.0
Nunavut,Women+,24,2021,280.0
Newfoundland and Labrador,Men+,25,2021,2545.0
Newfoundland and Labrador,Women+,25,2021,2440.0
Prince Edward Island,Men+,25,2021,1110.0
Prince Edward Island,Women+,25,2021,930.0
Nova Scotia,Men+,25,2021,6265.0
Nova Scotia,Women+,25,2021,6045.0
New Brunswick,Men+,25,2021,4355.0
New Brunswick,Women+,25,2021,3995.0
Quebec,Men+,25,2021,51385.0
Quebec,Women+,25,2021,49750.0
Ontario,Men+,25,2021,100575.0
Ontario,Women+,25,2021,93920.0
Manitoba,Men+,25,2021,9365.0
Manitoba,Women+,25,2021,8780.0
Saskatchewan,Men+,25,2021,6915.0
Saskatchewan,Women+,25,2021,6520.0
Alberta,Men+,25,2021,26900.0
Alberta,Women+,25,2021,25705.0
British Columbia,Men+,25,2021,33370.0
British Columbia,Women+,25,2021,32105.0
Yukon,Men+,25,2021,235.0
Yukon,Women+,25,2021,210.0
Northwest Territories,Men+,25,2021,315.0
Northwest Territories,Women+,25,2021,315.0
Nunavut,Men+,25,2021,330.0
Nunavut,Women+,25,2021,295.0
